pearsons_correlation,Metadata_treatment
0.7590751670961413,DMSO-positive
0.818822134316895,DMSO-positive
0.7860244695067036,DMSO-positive
0.7321660424425821,DMSO-positive
0.7366987081466443,DMSO-positive
0.7530556882740788,DMSO-positive
0.6085643570431156,DMSO-positive
0.5024881881290192,DMSO-positive
0.48275125050441575,DMSO-positive
0.6916468877570214,DMSO-positive
0.8505834635209988,DMSO-positive
0.8590911818786433,DMSO-positive
0.6856378288447214,DMSO-positive
0.802636817861036,DMSO-positive
0.7737205458315406,DMSO-positive
0.5824310459779982,DMSO-positive
0.6518049894126121,DMSO-positive
0.5415528797114625,DMSO-positive
0.7750554394630199,DMSO-positive
0.8507926905275797,DMSO-positive
0.7583765759220544,DMSO-positive
0.7589989553229561,DMSO-positive
0.7871097102934788,DMSO-positive
0.6411668859270516,DMSO-positive
0.600022975733799,DMSO-positive
0.5611356779249518,DMSO-positive
0.41370776852826563,DMSO-positive
0.6487708998265755,DMSO-positive
0.8027690619520228,DMSO-positive
0.7920553736770514,DMSO-positive
0.6690189743463734,DMSO-positive
0.8262490242401769,DMSO-positive
0.7274245401385041,DMSO-positive
0.5557710760215608,DMSO-positive
0.7313499093634107,DMSO-positive
0.6493541839808211,DMSO-positive
0.6296362756781495,DMSO-positive
0.6649524646116426,DMSO-positive
0.5517570441957488,DMSO-positive
0.4769930382304328,DMSO-positive
0.4784019395945516,DMSO-positive
0.34778570460006447,DMSO-positive
0.7779949613776436,DMSO-positive
0.8292307919969909,DMSO-positive
0.7145649122342896,DMSO-positive
0.6006051523222405,DMSO-positive
0.665187119556983,DMSO-positive
0.5249049275760453,DMSO-positive
0.7536894635122843,DMSO-positive
0.8032037969865614,DMSO-positive
0.767471219478401,DMSO-positive
0.5897781290512543,DMSO-positive
0.5931445883516431,DMSO-positive
0.5603074997529461,DMSO-positive
0.7199010785270469,DMSO-positive
0.8157079958813324,DMSO-positive
0.8289130509082109,DMSO-positive
0.6045253531084803,DMSO-positive
0.6952272698992981,DMSO-positive
0.7391620205395212,DMSO-positive
0.7066405094250865,DMSO-positive
0.6741831252484318,DMSO-positive
0.5868740738653708,DMSO-positive
0.6224657404018249,DMSO-positive
0.7503517740396017,DMSO-positive
0.6764260892311589,DMSO-positive
0.6008169689993772,DMSO-positive
0.6576442368498158,DMSO-positive
0.618978493891586,DMSO-positive
0.6078644981111087,DMSO-positive
0.7710166170781275,DMSO-positive
0.7275464125814682,DMSO-positive
0.48707232363654696,DMSO-negative
0.27242876840906327,DMSO-negative
0.3643151568151928,DMSO-negative
0.34418800415845446,DMSO-negative
0.39801679989926425,DMSO-negative
0.39981083721399596,DMSO-negative
0.3533487016205984,DMSO-negative
0.39216466439066944,DMSO-negative
0.35357128302911195,DMSO-negative
0.7533197106654732,DMSO-negative
0.49186907424400333,DMSO-negative
0.7762007938509566,DMSO-negative
0.769251488098819,DMSO-negative
0.7883115294018809,DMSO-negative
0.774614795682059,DMSO-negative
0.7344764695484205,DMSO-negative
0.6010249481886744,DMSO-negative
0.7214498599211079,DMSO-negative
0.8537520607364213,DMSO-negative
0.8527524189338218,DMSO-negative
0.8175044881059236,DMSO-negative
0.8430729982425089,DMSO-negative
0.7493295847701565,DMSO-negative
0.8653368254141087,DMSO-negative
0.8435318224850216,DMSO-negative
0.8181437989250915,DMSO-negative
0.8099814226244029,DMSO-negative
0.8036191338001775,DMSO-negative
0.8185063040070059,DMSO-negative
0.6223829374608815,DMSO-negative
0.7334776738547414,DMSO-negative
0.7270767256021126,DMSO-negative
0.7106833442065539,DMSO-negative
0.716032585020063,DMSO-negative
0.7116461948343069,DMSO-negative
0.7065791938334032,DMSO-negative
0.8371554599571648,DMSO-negative
0.7999475407201639,DMSO-negative
0.8706909961088586,DMSO-negative
0.8644814536060276,DMSO-negative
0.7632371700072341,DMSO-negative
0.8425627700845933,DMSO-negative
0.8528920271130919,DMSO-negative
0.7461955914588264,DMSO-negative
0.8331547098929727,DMSO-negative
0.79590798373591,DMSO-negative
0.7207936936791454,DMSO-negative
0.7519329367365052,DMSO-negative
0.6856558802337007,DMSO-negative
0.798610257506263,DMSO-negative
0.7631908318144517,DMSO-negative
0.7477590794935869,DMSO-negative
0.8458166043377872,DMSO-negative
0.8220504821028219,DMSO-negative
0.8229754120795306,DMSO-negative
0.8821081668984191,DMSO-negative
0.8464960154128339,DMSO-negative
0.7695467760938436,DMSO-negative
0.8530199067349233,DMSO-negative
0.7283462587554732,DMSO-negative
0.864125045957977,DMSO-negative
0.7986228587062065,DMSO-negative
0.8747362464665036,DMSO-negative
0.7421259610456621,DMSO-negative
0.7439518786636361,DMSO-negative
0.8453924497871428,DMSO-negative
0.7410871523125439,DMSO-negative
0.775964088098767,DMSO-negative
0.8189473743316733,DMSO-negative
0.8419234630957727,DMSO-negative
0.8827217611075999,DMSO-negative
0.7334819029097336,DMSO-negative
