pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.46561260381566305,UCD-0000450,Healthy,Neuronal Signaling
0.48899301239921444,UCD-0000450,Healthy,Neuronal Signaling
0.4291529809096751,UCD-0000450,Healthy,Neuronal Signaling
0.6118066802053685,UCD-0000450,Healthy,Neuronal Signaling
0.5546021343656686,UCD-0000450,Healthy,Neuronal Signaling
0.5371843999606605,UCD-0000450,Healthy,Neuronal Signaling
0.49912615561768203,UCD-0000450,Healthy,Neuronal Signaling
0.6652118470456893,UCD-0000450,Healthy,Neuronal Signaling
0.6005207398778071,UCD-0000450,Healthy,Neuronal Signaling
0.5744819910393556,UCD-0000450,Healthy,Neuronal Signaling
0.49530496361861504,UCD-0000450,Healthy,Neuronal Signaling
0.6316138161874771,UCD-0000450,Healthy,Neuronal Signaling
0.6678557578932431,UCD-0000450,Healthy,Neuronal Signaling
0.5773066314390505,UCD-0000450,Healthy,Neuronal Signaling
0.4893713337797461,UCD-0000450,Healthy,Neuronal Signaling
0.5813655990386183,UCD-0000450,Healthy,Neuronal Signaling
0.5994549068879411,UCD-0000450,Healthy,Neuronal Signaling
0.5562697990766713,UCD-0000450,Healthy,Neuronal Signaling
0.496950033837426,UCD-0000450,Healthy,Neuronal Signaling
0.6333089560277969,UCD-0000450,Healthy,Neuronal Signaling
0.507890624842937,UCD-0000450,Healthy,Neuronal Signaling
0.5366305192401254,UCD-0000450,Healthy,Neuronal Signaling
0.4133884836292197,UCD-0000450,Healthy,Neuronal Signaling
0.6022706249371492,UCD-0000450,Healthy,Neuronal Signaling
0.5181598536240654,UCD-0000450,Healthy,Neuronal Signaling
0.5255875171891358,UCD-0000450,Healthy,Neuronal Signaling
0.39815269609317194,UCD-0000450,Healthy,Neuronal Signaling
0.5914000222307191,UCD-0000450,Healthy,Neuronal Signaling
0.4808058185811055,UCD-0000450,Healthy,Neuronal Signaling
0.50143751754015,UCD-0000450,Healthy,Neuronal Signaling
0.3052050487595174,UCD-0000450,Healthy,Neuronal Signaling
0.42756825257493175,UCD-0000450,Healthy,Neuronal Signaling
0.6357019452615466,UCD-0000450,Healthy,Neuronal Signaling
0.5909366783397968,UCD-0000450,Healthy,Neuronal Signaling
0.6307713223440934,UCD-0000450,Healthy,Neuronal Signaling
0.749673467528757,UCD-0000450,Healthy,Neuronal Signaling
0.5627664669572315,UCD-0000450,Healthy,Neuronal Signaling
0.6482888443404834,UCD-0000450,Healthy,Neuronal Signaling
0.6803236412399438,UCD-0000450,Healthy,Neuronal Signaling
0.6801036011694008,UCD-0000450,Healthy,Neuronal Signaling
0.6787236392254621,UCD-0000450,Healthy,Neuronal Signaling
0.7020030017408448,UCD-0000450,Healthy,Neuronal Signaling
0.6756537853917824,UCD-0000450,Healthy,Neuronal Signaling
0.7003567083332116,UCD-0000450,Healthy,Neuronal Signaling
0.569974269885839,UCD-0000450,Healthy,Neuronal Signaling
0.49063361653902277,UCD-0000450,Healthy,Neuronal Signaling
0.4869567954492979,UCD-0000450,Healthy,Neuronal Signaling
0.5130876716813305,UCD-0000450,Healthy,Neuronal Signaling
0.5544762283287505,UCD-0000450,Healthy,Neuronal Signaling
0.5493159754967948,UCD-0000450,Healthy,Neuronal Signaling
0.5509765478666827,UCD-0000450,Healthy,Neuronal Signaling
0.6970071519317012,UCD-0000450,Healthy,Neuronal Signaling
0.48256893061252143,UCD-0000450,Healthy,Neuronal Signaling
0.48868071845930844,UCD-0000450,Healthy,Neuronal Signaling
0.4695362923023849,UCD-0000450,Healthy,Neuronal Signaling
0.6294202001700713,UCD-0000450,Healthy,Neuronal Signaling
0.4225743192935474,UCD-0000450,Healthy,Neuronal Signaling
0.5116634785888755,UCD-0000450,Healthy,Neuronal Signaling
0.39074689849447725,UCD-0000450,Healthy,Neuronal Signaling
0.6006146062513875,UCD-0000450,Healthy,Neuronal Signaling
0.44598971745143823,UCD-0000450,Healthy,Neuronal Signaling
0.5148538784780214,UCD-0000450,Healthy,Neuronal Signaling
0.3419309487199689,UCD-0000450,Healthy,Neuronal Signaling
0.5176305582773145,UCD-0000450,Healthy,Neuronal Signaling
-0.2983607438388836,UCD-0000721,Healthy,Neuronal Signaling
-0.27109021836724706,UCD-0000721,Healthy,Neuronal Signaling
-0.2309651042537806,UCD-0000721,Healthy,Neuronal Signaling
-0.23646239072261002,UCD-0000721,Healthy,Neuronal Signaling
-0.2555497579363745,UCD-0000721,Healthy,Neuronal Signaling
-0.3704387855613311,UCD-0000721,Healthy,Neuronal Signaling
-0.3283379264557732,UCD-0000721,Healthy,Neuronal Signaling
-0.2905271120324668,UCD-0000721,Healthy,Neuronal Signaling
-0.338958591746471,UCD-0000721,Healthy,Neuronal Signaling
-0.33277572928890475,UCD-0000721,Healthy,Neuronal Signaling
-0.3922223809370503,UCD-0000721,Healthy,Neuronal Signaling
